Date,BTC,Energy,GPR
2020/06/11,-0.165074288,-0.971168365,0.067492267
2020/06/12,-0.209852403,-1.168518796,0.146948382
2020/06/13,-0.215104829,-1.184223309,0.222973413
2020/06/14,-0.251827585,-1.171235804,0.221645843
2020/06/15,-0.257097939,-1.12255124,0.215703891
2020/06/16,-0.234742108,-1.111185757,0.298494942
2020/06/17,-0.191019207,-0.955441496,0.293187711
2020/06/18,-0.162767698,-1.034879534,0.30173006
2020/06/19,-0.185765491,-0.969207332,0.359110672
2020/06/20,-0.23204237,-1.055528347,0.266029435
2020/06/21,-0.179356243,-1.105482363,0.399146331
2020/06/22,-0.21289951,-1.104575847,0.359339712
2020/06/23,-0.204641116,-1.132445783,0.350657683
2020/06/24,-0.096095181,-0.985937847,-0.034318299
2020/06/25,-0.106693285,-0.994964513,0.028889693
2020/06/26,-0.022335581,-0.84587388,0.31612904
2020/06/27,0.065751291,-0.928334905,0.446361561
2020/06/28,-0.01399624,-0.980288967,0.501028839
2020/06/29,0.025705968,-0.972481907,0.392961484
2020/06/30,-0.025893111,-0.97517672,0.303090641
2020/07/01,-1.479824863,-0.915153362,0.194838974
2020/07/02,-1.117175737,-0.951029619,-0.010908021
2020/07/03,-1.07916113,-0.955096768,-0.02869527
2020/07/04,-1.104662742,-0.975511102,0.041841234
2020/07/05,-1.168061454,-2.044482796,-0.024504533
2020/07/06,-0.840065271,-2.055609344,-0.13640787
2020/07/07,-0.716436476,-1.906995946,-0.175287028
2020/07/08,-0.715639667,-1.915708597,-0.097837327
2020/07/09,-0.602720239,-1.869070898,-0.057107874
2020/07/10,-0.571480435,-2.052806599,-0.072919801
2020/07/11,0.63951145,-1.266187934,-0.225168493
2020/07/12,0.720034595,-1.307974035,-0.277998831
2020/07/13,0.741025831,-1.318058597,-0.240323144
2020/07/14,0.692636389,-1.046289122,-0.324226232
2020/07/15,0.786877731,-1.055544567,-0.452846315
2020/07/16,0.909982278,-1.176339037,-0.436212958
2020/07/17,0.850912802,-1.267607868,-0.425392775
2020/07/18,0.799144017,-1.221668734,-0.45352911
2020/07/19,0.733275181,-1.263184972,-0.557816769
2020/07/20,0.792864782,-1.225481744,-0.51130124
2020/07/21,0.660167402,-0.395224007,-0.640881423
2020/07/22,0.290360682,-0.315327311,-0.703470945
2020/07/23,0.225965397,-0.244711041,-0.753359429
2020/07/24,1.034690033,0.361738507,-0.73695252
2020/07/25,0.861271683,0.429730631,-0.723868008
2020/07/26,0.738789274,0.50860773,-0.725316521
2020/07/27,3.335856005,0.534235266,-0.663262777
2020/07/28,3.358072433,0.607710252,-0.614686243
2020/07/29,3.261633351,0.540009179,-0.513187993
2020/07/30,3.276469785,0.38153205,-0.400930522
2020/07/31,3.189228951,0.391204867,-0.307792811
2020/08/01,2.892649772,0.446215952,-0.140089696
